model,model_key,segment_index,tp,fp,fn,tn,precision,recall,mean_score
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,29,11,26,4,19,0.2972972972972973,0.7333333333333333,0.5016130053333334
animal2vec MLP2,animal2vec_pretrained_meerkat_mlp2,30,8,18,13,21,0.3076923076923077,0.38095238095238093,0.4504510676666667
Wav2Vec2 MLP2,wav2vec2_base_mlp2,1,0,27,0,33,0.0,,0.5920017145000002
Wav2Vec2 MLP2,wav2vec2_base_mlp2,2,8,21,2,29,0.27586206896551724,0.8,0.5641989498333333
Wav2Vec2 MLP2,wav2vec2_base_mlp2,3,0,27,0,33,0.0,,0.5637047370000001
Wav2Vec2 MLP2,wav2vec2_base_mlp2,4,4,33,4,19,0.10810810810810811,0.5,0.6315763248333331
Wav2Vec2 MLP2,wav2vec2_base_mlp2,5,6,25,10,19,0.1935483870967742,0.375,0.6449771186666666
Wav2Vec2 MLP2,wav2vec2_base_mlp2,6,0,29,0,31,0.0,,0.6301563548333333
Wav2Vec2 MLP2,wav2vec2_base_mlp2,7,2,15,10,33,0.11764705882352941,0.16666666666666666,0.5418465114500001
Wav2Vec2 MLP2,wav2vec2_base_mlp2,8,20,4,35,1,0.8333333333333334,0.36363636363636365,0.5582970311
Wav2Vec2 MLP2,wav2vec2_base_mlp2,9,13,5,32,10,0.7222222222222222,0.28888888888888886,0.553378043
Wav2Vec2 MLP2,wav2vec2_base_mlp2,10,17,2,38,3,0.8947368421052632,0.3090909090909091,0.5579200798333332
Wav2Vec2 MLP2,wav2vec2_base_mlp2,11,37,0,22,1,1.0,0.6271186440677966,0.6495021918333332
Wav2Vec2 MLP2,wav2vec2_base_mlp2,12,33,0,27,0,1.0,0.55,0.6232032356666667
Wav2Vec2 MLP2,wav2vec2_base_mlp2,13,35,0,25,0,1.0,0.5833333333333334,0.6475631189999999
Wav2Vec2 MLP2,wav2vec2_base_mlp2,14,17,0,43,0,1.0,0.2833333333333333,0.5286906224999999
Wav2Vec2 MLP2,wav2vec2_base_mlp2,15,13,0,47,0,1.0,0.21666666666666667,0.5222400466666667
Wav2Vec2 MLP2,wav2vec2_base_mlp2,16,14,0,45,1,1.0,0.23728813559322035,0.47344233666666663
Wav2Vec2 MLP2,wav2vec2_base_mlp2,17,6,2,45,7,0.75,0.11764705882352941,0.4821471578333334
Wav2Vec2 MLP2,wav2vec2_base_mlp2,18,15,9,34,2,0.625,0.30612244897959184,0.5850791958333333
Wav2Vec2 MLP2,wav2vec2_base_mlp2,19,10,14,27,9,0.4166666666666667,0.2702702702702703,0.5323108298333333
Wav2Vec2 MLP2,wav2vec2_base_mlp2,20,6,10,13,31,0.375,0.3157894736842105,0.49572483316666666
Wav2Vec2 MLP2,wav2vec2_base_mlp2,21,11,4,40,5,0.7333333333333333,0.21568627450980393,0.5112540793333332
Wav2Vec2 MLP2,wav2vec2_base_mlp2,22,12,7,38,3,0.631578947368421,0.24,0.5391879890000001
Wav2Vec2 MLP2,wav2vec2_base_mlp2,23,11,1,33,15,0.9166666666666666,0.25,0.46952964116666673
Wav2Vec2 MLP2,wav2vec2_base_mlp2,24,6,7,34,13,0.46153846153846156,0.15,0.4732168088333334
Wav2Vec2 MLP2,wav2vec2_base_mlp2,25,20,8,21,11,0.7142857142857143,0.4878048780487805,0.617815549
Wav2Vec2 MLP2,wav2vec2_base_mlp2,26,14,20,26,0,0.4117647058823529,0.35,0.5896396581666666
Wav2Vec2 MLP2,wav2vec2_base_mlp2,27,21,2,29,8,0.9130434782608695,0.42,0.5554414301666667
Wav2Vec2 MLP2,wav2vec2_base_mlp2,28,7,0,28,25,1.0,0.2,0.395497861
Wav2Vec2 MLP2,wav2vec2_base_mlp2,29,4,9,11,36,0.3076923076923077,0.26666666666666666,0.45232214816666655
Wav2Vec2 MLP2,wav2vec2_base_mlp2,30,6,10,15,29,0.375,0.2857142857142857,0.5008300725
